,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
53,"Azenta, Inc.",58.5,58.7,57.7,59.25,58.5,58.7,57.7,59.25,1.5773519282284463
54,"B. Riley Financial, Inc.",18.5,18.22,18.01,20.29,18.5,18.22,18.01,20.29,2.0176315609268523
55,Ball Corporation,64.39,64.62,64.39,65.58,64.39,64.62,64.39,65.58,1.2804568396844376
56,Banco Macro S.A.,45.61,45.53,44.912,47.95,45.61,45.53,44.912,47.95,1.3066551826866912
57,Bank of Hawaii Corporation,59.1,59.44,59.18,61.7575,59.1,59.44,59.18,61.7575,1.9485952751300268
58,Bank of Montreal,93.84,94.04,93.75,96.12,93.84,94.04,93.75,96.12,1.3066862702711475
59,Bank OZK,42.47,42.69,42.47,44.24,42.47,42.69,42.47,44.24,1.26173614051212
60,Banner Corporation,44.39,44.69,44.39,46.82,44.39,44.69,44.39,46.82,1.4369284069122383
61,"Beacon Roofing Supply, Inc.",92.6,92.7,92.6,94.61,92.6,92.7,92.6,94.61,1.8964032109075855
62,Beam Therapeutics Inc.,34.53,34.84,33.77,35.69,34.53,34.84,33.77,35.69,1.6020789316049207
63,Belden Inc.,87.87,88.29,87.57,91.17,87.87,88.29,87.57,91.17,1.9297114515574543
64,"Best Buy Co., Inc.",79.51,77.29,78.01,79.69,79.51,77.29,78.01,79.69,1.6814364467153544
65,"Beyond, Inc.",34.06,33.95,33.23,35.228,34.06,33.95,33.23,35.228,1.3327984187913977
66,"BILL Holdings, Inc.",66.45,66.53,66.08,67.42,66.45,66.53,66.08,67.42,3.906628439077747
67,"Bio-Path Holdings, Inc.",4.79,4.56,4.01,4.79,4.79,4.56,4.01,4.79,1.5805138014993179
68,Bio-Techne Corporation,70.84,70.76,70.725,71.905,70.84,70.76,70.725,71.905,2.049128717393884
69,Biohaven Ltd.,56.02,56.95,55.43,59.35,56.02,56.95,55.43,59.35,1.6195534792813389
70,BioMarin Pharmaceutical Inc.,85.01,85.27,83.85,85.18,85.01,85.27,83.85,85.18,2.008735355181185
71,"Biomea Fusion, Inc.",15.31,15.32,14.78,15.8,15.31,15.32,14.78,15.8,1.6272331396110444
72,BioNTech SE,88.91,94.12,85.27,89.91,88.91,94.12,85.27,89.91,3.1716874314862276
